title,vote_average,adult,genres,spoken_languages
Spider-Man 3,6.398,False,"Fantasy, Action, Adventure","English, French"
A Quiet Place,7.396,False,"Horror, Drama, Science Fiction",English
Aquaman,6.9,False,"Action, Adventure, Fantasy",English
Kill Bill: Vol. 2,7.876,False,"Action, Crime, Thriller","English, Mandarin, Spanish, Cantonese"
Cars,6.936,False,"Animation, Adventure, Comedy, Family","English, Italian, Japanese, Yiddish"
Toy Story 2,7.589,False,"Animation, Comedy, Family",English
Men in Black,7.184,False,"Action, Adventure, Comedy, Science Fiction","English, Spanish"
Edge of Tomorrow,7.606,False,"Action, Science Fiction",English
300,7.175,False,"Action, Adventure, War",English
Jumanji: Welcome to the Jungle,6.827,False,"Adventure, Action, Comedy, Fantasy",English
Blade Runner,7.931,False,"Science Fiction, Drama, Thriller","English, German, Cantonese, Japanese, Hungarian"
Star Wars: Episode III - Revenge of the Sith,7.411,False,"Adventure, Action, Science Fiction",English
Hacksaw Ridge,8.195,False,"Drama, History, War","Japanese, English"
Twilight,6.286,False,"Fantasy, Drama, Romance",English
Brave,7.012,False,"Animation, Adventure, Comedy, Family, Action, Fantasy",English
Ant-Man and the Wasp,6.951,False,"Action, Adventure, Science Fiction",English
Maleficent,7.09,False,"Fantasy, Adventure, Action, Family, Romance",English
Passengers,6.934,False,"Drama, Romance, Science Fiction",English
Life of Pi,7.398,False,"Adventure, Drama","English, French, Hindi, Japanese, Tamil"
Ex Machina,7.572,False,"Drama, Science Fiction",English
The Amazing Spider-Man 2,6.498,False,"Action, Adventure, Fantasy",English
Blade Runner 2049,7.544,False,"Science Fiction, Drama","English, Finnish, Hungarian, Japanese, Russian, Somali, Spanish"
Ice Age,7.348,False,"Animation, Comedy, Family, Adventure",English
Star Wars: Episode II - Attack of the Clones,6.6,False,"Adventure, Action, Science Fiction",English
Justice League,6.098,False,"Action, Adventure, Science Fiction",English
The Hobbit: The Desolation of Smaug,7.57,False,"Fantasy, Adventure, Action",English
Once Upon a Time… in Hollywood,7.437,False,"Comedy, Drama, Thriller","English, Italian, Spanish"
Life Is Beautiful,8.455,False,"Comedy, Drama","English, Czech, German, Italian"
X-Men: Apocalypse,6.513,False,"Action, Adventure, Science Fiction, Fantasy","Arabic, English, German, Polish, Russian, Swahili"
Birdman or (The Unexpected Virtue of Ignorance),7.471,False,"Drama, Comedy",English
Divergent,6.92,False,"Action, Adventure, Science Fiction",English
American Sniper,7.427,False,"War, Action",English
How to Train Your Dragon,7.813,False,"Fantasy, Adventure, Animation, Family",English
Incredibles 2,7.481,False,"Action, Adventure, Animation, Family",English
Edward Scissorhands,7.716,False,"Fantasy, Drama, Romance",English
John Wick: Chapter 2,7.323,False,"Action, Thriller, Crime","English, Hebrew, Italian, Russian"
X-Men: First Class,7.296,False,"Action, Science Fiction, Adventure","German, English, Spanish, French, Russian"
A Clockwork Orange,8.2,False,"Science Fiction, Drama",English
The Curious Case of Benjamin Button,7.579,False,"Drama, Fantasy, Romance",English
The Terminator,7.646,False,"Action, Thriller, Science Fiction","English, Spanish"
Back to the Future Part II,7.752,False,"Adventure, Comedy, Science Fiction",English
Terminator 2: Judgment Day,8.104,False,"Action, Thriller, Science Fiction","English, Spanish"
GoodFellas,8.464,False,"Drama, Crime","Italian, English"
Drive,7.572,False,"Drama, Thriller, Crime",English
